x,y,z,r,g,b
-0.028580675,-0.025655515,0.509882,165.0,119.0,145.0
-0.028580675,-0.02306746,0.509882,162.0,122.0,138.0
-0.028580675,-0.020479403,0.509882,162.0,124.0,142.0
-0.028989222,-0.018147096,0.5171705,156.0,125.0,134.0
-0.02876082,-0.015399749,0.5130958,152.0,125.0,131.0
-0.028715573,-0.012775251,0.5122886,158.0,129.0,136.0
-0.028670466,-0.010158996,0.51148385,149.0,108.0,126.0
-0.028670466,-0.002370436,0.51148385,150.0,111.0,145.0
-0.028670466,2.2575077E-4,0.51148385,162.0,133.0,151.0
-0.028715573,0.0028263773,0.5122886,136.0,102.0,133.0
-0.028580675,0.0054011554,0.509882,135.0,96.0,135.0
-0.028715573,0.00802692,0.5122886,158.0,133.0,140.0
-0.02876082,0.010643937,0.5130958,157.0,122.0,158.0
-0.028670466,0.015802871,0.51148385,130.0,69.0,108.0
-0.028715573,0.018428005,0.5122886,118.0,84.0,98.0
-0.028715573,0.021028277,0.5122886,129.0,77.0,80.0
-0.028806213,0.02370313,0.5139056,148.0,100.0,120.0
-0.028715573,0.026228819,0.5122886,152.0,121.0,133.0
-0.028806213,0.036745526,0.5139056,146.0,109.0,122.0
-0.028580675,0.03904588,0.509882,147.0,106.0,98.0
-0.028715573,0.041830447,0.5122886,138.0,97.0,122.0
-0.029081602,0.04763048,0.51881856,145.0,101.0,133.0
-0.028989222,0.05010423,0.5171705,151.0,118.0,141.0
-0.028989222,0.05272928,0.5171705,164.0,124.0,163.0
-0.028943252,0.05526655,0.5163504,154.0,122.0,129.0
-0.028989222,0.057979383,0.5171705,148.0,112.0,132.0
-0.028989222,0.060604434,0.5171705,158.0,123.0,135.0
-0.028943252,0.06312922,0.5163504,169.0,126.0,126.0
-0.02876082,0.065335676,0.5130958,163.0,120.0,122.0
-0.025684685,-0.05601053,0.5035736,161.0,123.0,116.0
-0.025645023,-0.05337195,0.502796,137.0,104.0,127.0
-0.025684685,-0.05089846,0.5035736,156.0,113.0,123.0
-0.025645023,-0.048267774,0.502796,161.0,125.0,129.0
-0.025684685,-0.04578639,0.5035736,170.0,130.0,132.0
-0.025804408,-0.033160057,0.5059209,159.0,120.0,130.0
-0.025764376,-0.030544648,0.505136,159.0,123.0,143.0
-0.025844561,-0.028067766,0.50670815,159.0,119.0,131.0
-0.026006442,-0.02306746,0.509882,155.0,121.0,128.0
-0.025764376,-0.017724816,0.505136,156.0,122.0,126.0
-0.025724467,-0.015137366,0.5043536,156.0,122.0,126.0
-0.025684685,-0.01255792,0.5035736,152.0,122.0,135.0
-0.025844561,-0.010064142,0.50670815,153.0,105.0,108.0
-0.025724467,-0.0048973863,0.5043536,152.0,112.0,118.0
-0.025804408,-0.0023446549,0.5059209,152.0,121.0,131.0
-0.025804408,2.2329549E-4,0.5059209,160.0,129.0,140.0
-0.025804408,0.0027912457,0.5059209,142.0,99.0,127.0
-0.025804408,0.005359196,0.5059209,141.0,103.0,118.0
-0.025804408,0.007927147,0.5059209,170.0,125.0,140.0
-0.025804408,0.010495096,0.5059209,162.0,120.0,139.0
-0.025804408,0.013063047,0.5059209,169.0,124.0,132.0
-0.026006442,0.018341435,0.509882,163.0,119.0,131.0
-0.026006442,0.020929491,0.509882,159.0,122.0,119.0
-0.025925249,0.023444125,0.5082901,189.0,129.0,128.0
-0.025925249,0.026024101,0.5082901,159.0,121.0,137.0
-0.025925249,0.028604077,0.5082901,151.0,104.0,116.0
-0.02596578,0.031232806,0.50908476,153.0,129.0,124.0
-0.02596578,0.033816814,0.50908476,168.0,130.0,136.0
-0.025925249,0.036344007,0.5082901,162.0,127.0,148.0
-0.025925249,0.038923983,0.5082901,154.0,119.0,130.0
-0.02596578,0.04156884,0.50908476,161.0,122.0,145.0
-0.025925249,0.044083934,0.5082901,160.0,122.0,147.0
-0.025884844,0.04659118,0.5074979,159.0,119.0,155.0
-0.025925249,0.049243886,0.5082901,138.0,115.0,136.0
-0.02596578,0.05190488,0.50908476,167.0,121.0,136.0
-0.02596578,0.05448889,0.50908476,163.0,134.0,108.0
-0.026211666,0.060221836,0.5139056,179.0,136.0,148.0
-0.026088146,0.062534235,0.51148385,167.0,133.0,145.0
-0.026047228,0.065028265,0.5106816,141.0,92.0,118.0
-0.023000022,-0.053125855,0.5004776,150.0,108.0,126.0
-0.023000022,-0.048045214,0.5004776,158.0,112.0,131.0
-0.023000022,-0.04550489,0.5004776,163.0,123.0,145.0
-0.023000022,-0.037883926,0.5004776,156.0,114.0,136.0
-0.0231423,-0.033006206,0.5035736,147.0,97.0,117.0
-0.023106566,-0.030403152,0.502796,150.0,114.0,120.0
-0.0231423,-0.027894136,0.5035736,149.0,105.0,132.0
-0.023106566,-0.017642707,0.502796,143.0,107.0,132.0
-0.023106566,-0.015090617,0.502796,141.0,101.0,131.0
-0.023070943,-0.0125191985,0.50202084,141.0,105.0,128.0
-0.023070943,-0.009971044,0.50202084,141.0,104.0,126.0
-0.023070943,-0.007422889,0.50202084,142.0,114.0,132.0
-0.023070943,-0.0048747347,0.50202084,144.0,120.0,130.0
-0.023106566,-0.0023301728,0.502796,154.0,113.0,130.0
-0.0231423,2.2225948E-4,0.5035736,163.0,127.0,138.0
-0.0231423,0.0027782954,0.5035736,147.0,109.0,109.0
-0.0231423,0.005334331,0.5035736,150.0,113.0,123.0
-0.0231423,0.007890367,0.5035736,159.0,121.0,128.0
-0.0231423,0.010446403,0.5035736,154.0,121.0,117.0
-0.023178147,0.013022578,0.5043536,169.0,129.0,133.0
-0.023250174,0.018198948,0.5059209,159.0,128.0,152.0
-0.023250174,0.020766897,0.5059209,148.0,105.0,129.0
-0.023250174,0.023334848,0.5059209,143.0,107.0,124.0
-0.023178147,0.028382549,0.5043536,143.0,96.0,102.0
-0.0231423,0.030894691,0.5035736,131.0,84.0,95.0
-0.023178147,0.033502538,0.5043536,143.0,104.0,59.0
-0.023214104,0.036118478,0.505136,166.0,130.0,146.0
-0.023286354,0.038802836,0.50670815,164.0,121.0,132.0
-0.023286354,0.041374784,0.50670815,158.0,128.0,136.0
-0.023250174,0.04387845,0.5059209,160.0,120.0,141.0
-0.023214104,0.046374343,0.505136,166.0,132.0,140.0
-0.023214104,0.04893831,0.505136,149.0,103.0,125.0
-0.023214104,0.051502276,0.505136,148.0,113.0,122.0
-0.023250174,0.05415025,0.5059209,156.0,113.0,122.0
-0.023286354,0.05680646,0.50670815,160.0,114.0,130.0
-0.023395574,0.05965691,0.50908476,165.0,126.0,144.0
-0.023395574,0.06224092,0.50908476,159.0,128.0,138.0
-0.023286354,0.064522296,0.50670815,151.0,105.0,123.0
-0.023286354,0.067094244,0.50670815,149.0,104.0,120.0
-0.023359055,0.06988369,0.5082901,158.0,111.0,111.0
-0.020568108,0.0027740053,0.502796,136.0,96.0,110.0
-0.020504784,0.01039816,0.501248,146.0,110.0,119.0
-0.020473268,0.012922499,0.5004776,151.0,107.0,109.0
-0.020473268,0.015462821,0.5004776,145.0,92.0,101.0
-0.020473268,0.03070475,0.5004776,119.0,72.0,97.0
-0.020504784,0.033296246,0.501248,119.0,65.0,68.0
-0.020504784,0.035840478,0.501248,144.0,92.0,120.0
-0.020473268,0.038325712,0.5004776,146.0,108.0,105.0
-0.020568108,0.046159517,0.502796,160.0,123.0,162.0
-0.020568108,0.048711605,0.502796,139.0,92.0,100.0
-0.020504784,0.051105868,0.501248,137.0,68.0,100.0
-0.020568108,0.053815786,0.502796,149.0,111.0,145.0
-0.020568108,0.06147205,0.502796,158.0,115.0,145.0
-0.020599917,0.06412316,0.5035736,166.0,123.0,120.0
-0.020599917,0.066679195,0.5035736,176.0,129.0,138.0
-0.020663831,0.06945004,0.505136,177.0,128.0,148.0
-0.01797414,0.048561636,0.501248,115.0,80.0,107.0
-0.01797414,0.06891549,0.501248,127.0,95.0,107.0
-0.007851572,-0.053207632,0.501248,178.0,158.0,142.0
-0.007863677,-0.050741516,0.50202084,144.0,106.0,139.0
-0.007863677,-0.04819336,0.50202084,136.0,83.0,65.0
-0.007875819,-0.045715686,0.502796,145.0,101.0,102.0
-0.007863677,-0.043097053,0.50202084,137.0,110.0,124.0
-0.007863677,-0.0405489,0.50202084,128.0,122.0,153.0
-0.007839504,-0.037883926,0.5004776,127.0,144.0,208.0
-0.007839504,-0.035343606,0.5004776,110.0,133.0,197.0
-0.007863677,-0.032904435,0.50202084,106.0,137.0,211.0
-0.007863677,-0.030356279,0.50202084,99.0,139.0,231.0
-0.007863677,-0.027808124,0.50202084,107.0,149.0,242.0
